text_col_1,text_col_2,text_col_3,label
meeting schedule schedule discussion review,update meeting report meeting schedule,client meeting project review client,not_spam
money prize offer prize urgent,win free limited win offer,offer prize urgent prize credit,spam
reminder team client update review,update client discussion meeting schedule,schedule meeting schedule project schedule,not_spam
team team schedule schedule reminder,review review project discussion project,team reminder review client review,not_spam
discussion schedule meeting team schedule,schedule reminder update team review,team reminder report schedule schedule,not_spam
schedule client update team schedule,reminder client meeting meeting project,review discussion report meeting team,not_spam
client reminder update meeting discussion,review client schedule review project,report report reminder update schedule,not_spam
project reminder update schedule review,review project discussion client discussion,client meeting team meeting reminder,not_spam
update team meeting update reminder,meeting report meeting discussion discussion,project report client schedule update,not_spam
click money credit click win,limited urgent buy money free,click win money click click,spam
urgent click limited prize offer,click urgent click free limited,money buy credit prize free,spam
buy buy buy credit urgent,limited offer buy win prize,click free buy buy click,spam
limited buy prize money offer,limited prize limited limited prize,free buy click buy offer,spam
limited click credit buy buy,limited limited money credit free,click limited money money credit,spam
money money prize free limited,offer free money urgent click,free prize click money urgent,spam
money money limited click credit,click win urgent click win,credit offer buy limited limited,spam
click click limited prize prize,win free prize credit urgent,limited urgent offer prize click,spam
reminder project project project client,schedule review discussion schedule review,schedule report reminder update meeting,not_spam
click offer credit urgent click,credit money buy offer offer,prize limited money prize money,spam
free win prize credit prize,prize click click free credit,prize buy urgent free limited,spam
reminder update update meeting discussion,team reminder update update update,schedule discussion project update update,not_spam
prize buy win credit click,offer free win prize limited,click urgent win limited money,spam
project reminder project reminder schedule,project report discussion team review,client team client schedule discussion,not_spam
limited money credit credit urgent,win offer urgent win win,prize credit win win buy,spam
click free buy limited urgent,limited urgent win money offer,click buy money urgent buy,spam
click buy limited credit free,offer money urgent win prize,credit urgent click free offer,spam
buy prize offer buy urgent,free urgent buy click urgent,offer credit credit free buy,spam
limited money offer click prize,buy prize urgent limited money,limited prize urgent credit money,spam
client update discussion report schedule,schedule review discussion client review,schedule meeting schedule schedule team,not_spam
project schedule review discussion meeting,report client report schedule report,reminder client review update discussion,not_spam
offer win credit prize limited,buy credit money urgent click,click buy offer win urgent,spam
free buy free urgent offer,win money offer urgent free,buy offer win click win,spam
team discussion update schedule meeting,meeting client reminder team review,discussion review discussion reminder project,not_spam
free free urgent money click,urgent credit free urgent credit,free prize limited free offer,spam
urgent limited win credit offer,urgent urgent free credit prize,urgent free limited credit win,spam
win money win prize prize,free limited urgent prize credit,buy credit limited click prize,spam
report report discussion schedule update,update meeting update schedule report,review team meeting update project,not_spam
credit win prize credit click,offer limited offer credit buy,credit urgent urgent buy credit,spam
click urgent win money buy,money buy credit win credit,click click free free free,spam
discussion project schedule report discussion,reminder client schedule project project,schedule project meeting client schedule,not_spam
client review project update report,update client report report project,meeting reminder report update report,not_spam
urgent offer free money win,limited free credit urgent credit,click money buy buy prize,spam
team review review discussion reminder,schedule schedule review project project,meeting meeting report client schedule,not_spam
credit credit buy urgent limited,credit urgent urgent limited buy,money urgent limited prize offer,spam
win credit money click free,urgent urgent limited money buy,offer offer buy win click,spam
limited prize money limited limited,urgent click offer credit buy,urgent limited free money urgent,spam
offer win win urgent prize,win urgent click limited prize,money buy win win limited,spam
money limited urgent money buy,free win credit urgent credit,click money limited buy urgent,spam
limited urgent click free money,money offer limited limited buy,free prize buy credit money,spam
prize limited click money win,limited money prize prize click,credit buy limited money prize,spam
click money limited buy free,money win money money buy,win free urgent money click,spam
meeting discussion discussion update team,review update reminder report meeting,client client update update report,not_spam
report discussion report review project,report reminder team review review,update update update team team,not_spam
discussion update meeting meeting review,reminder reminder discussion report meeting,review update report review reminder,not_spam
credit click win free money,money credit free offer prize,urgent click limited free buy,spam
click offer prize limited urgent,free buy win money urgent,buy click prize free win,spam
click money money limited click,limited urgent click money urgent,credit offer urgent buy limited,spam
credit urgent win urgent urgent,urgent credit urgent prize urgent,limited urgent win buy money,spam
meeting schedule discussion project project,client reminder client reminder update,schedule update report update discussion,not_spam
free limited free limited prize,credit limited limited prize win,credit offer money buy urgent,spam
client update reminder project schedule,meeting update client reminder schedule,meeting update reminder team report,not_spam
limited win buy offer prize,free buy urgent credit limited,buy credit free buy offer,spam
buy limited offer win buy,limited prize offer urgent money,limited win win free free,spam
report review review client meeting,discussion schedule project client meeting,discussion schedule schedule update team,not_spam
limited offer prize free free,click free urgent offer offer,credit click win free offer,spam
client discussion report discussion client,project client reminder meeting discussion,update client report reminder meeting,not_spam
buy urgent buy limited offer,offer urgent offer click urgent,money win limited money buy,spam
meeting discussion update review discussion,discussion schedule report schedule team,report report meeting report review,not_spam
free limited offer prize offer,offer credit prize money money,money win free win urgent,spam
update discussion reminder review team,client schedule review schedule project,update team discussion client update,not_spam
reminder update review review meeting,reminder update schedule project discussion,team team meeting update client,not_spam
free urgent offer credit click,buy win win credit credit,money offer offer free urgent,spam
schedule review report report schedule,discussion project report schedule review,report review meeting team client,not_spam
win click free click win,offer credit free win credit,money prize prize offer prize,spam
offer limited prize money money,credit buy free offer win,prize urgent prize limited offer,spam
schedule client client team team,team team project client project,client reminder team discussion update,not_spam
schedule project project review discussion,review project discussion report discussion,discussion report reminder client review,not_spam
update review project meeting report,team schedule meeting client team,report meeting update meeting update,not_spam
review client report client discussion,update report update review team,report project meeting project update,not_spam
credit money free click buy,buy money free win click,buy win money credit urgent,spam
offer urgent click credit urgent,limited prize win money free,win limited urgent win money,spam
team team discussion update review,update discussion review client review,report team team project schedule,not_spam
report schedule project meeting update,project discussion update update meeting,team discussion project team project,not_spam
discussion update project report report,review schedule report schedule discussion,report client team update report,not_spam
team reminder reminder report schedule,team client reminder update update,project schedule review update client,not_spam
prize prize click credit click,limited free buy limited click,buy win offer offer money,spam
limited win offer limited prize,urgent credit free click prize,urgent free credit buy offer,spam
click prize money credit money,free click win offer buy,credit buy free limited money,spam
money click free buy urgent,click buy urgent offer limited,offer money money limited money,spam
buy urgent limited click offer,credit win credit urgent credit,credit win offer money prize,spam
credit buy urgent urgent prize,offer credit buy click offer,free offer limited money limited,spam
schedule discussion project team discussion,update team project team update,discussion update team reminder report,not_spam
